iter	RMSE
0	93744.45237
1	84103.59267
2	76914.58223
3	69886.66458
4	66348.51629
5	64114.17054
6	62376.2586
7	61466.50133
8	60515.44164
9	59675.93507
10	58850.97687
11	58311.17704
12	57619.17646
13	57115.43957
14	56722.6632
15	56321.44598
16	55699.41186
17	54772.00911
18	54214.93768
19	53874.59352
20	53297.71566
21	52745.71268
22	52455.33785
23	51800.52809
24	51524.77855
25	51261.44198
26	51043.46212
27	50726.90197
28	50535.29899
29	50263.78081
30	49973.06033
31	49729.75328
32	49506.61805
33	49230.92219
34	48979.02555
35	48781.09486
36	48516.06919
37	48172.03519
38	48021.82294
39	47809.90379
40	47649.16398
41	47512.14003
42	47323.43902
43	47174.35991
44	47048.23582
45	46893.21394
46	46632.35308
47	46521.4542
48	46376.57971
49	46265.05823
50	46091.53054
51	46021.04815
52	45882.27807
53	45643.72767
54	45524.05588
55	45433.02546
56	45307.82679
57	45258.69023
58	45190.93751
59	45032.47528
60	44920.37327
61	44892.36926
62	44803.06122
63	44630.74229
64	44514.64628
65	44419.11365
66	44282.42589
67	44112.99262
68	43951.31988
69	43828.21501
70	43639.53563
71	43537.80401
72	43441.72401
73	43312.79315
74	43254.89721
75	43154.34343
76	43021.84253
77	42881.92493
78	42806.2003
79	42684.49865
80	42592.68465
81	42502.80144
82	42387.48761
83	42296.7233
84	42157.52383
85	42017.77279
86	41911.02205
87	41799.50069
88	41724.98828
89	41624.29977
90	41544.1033
91	41446.37693
92	41342.94545
93	41266.02947
94	41177.27141
95	41123.3505
96	41011.25019
97	40897.8932
98	40840.70815
99	40739.35273
