iter	Passed	Remaining
0	45	4456
1	88	4322
2	126	4099
3	177	4259
4	230	4372
5	280	4394
6	329	4374
7	379	4361
8	430	4350
9	480	4322
10	535	4332
11	593	4354
12	646	4328
13	715	4392
14	788	4466
15	844	4436
16	905	4419
17	962	4382
18	1015	4329
19	1070	4282
20	1125	4234
21	1186	4207
22	1246	4171
23	1302	4123
24	1358	4076
25	1414	4026
26	1470	3976
27	1526	3924
28	1588	3887
29	1647	3843
30	1704	3792
31	1760	3740
32	1815	3685
33	1868	3627
34	1918	3563
35	1972	3506
36	2018	3437
37	2067	3373
38	2114	3307
39	2164	3246
40	2216	3189
41	2273	3139
42	2328	3086
43	2380	3029
44	2431	2971
45	2478	2909
46	2523	2845
47	2571	2785
48	2616	2723
49	2660	2660
50	2712	2606
51	2755	2543
52	2805	2487
53	2850	2427
54	2894	2368
55	2950	2317
56	2993	2258
57	3045	2205
58	3091	2148
59	3135	2090
60	3185	2036
61	3242	1987
62	3289	1932
63	3333	1875
64	3378	1818
65	3421	1762
66	3467	1707
67	3513	1653
68	3559	1599
69	3608	1546
70	3653	1492
71	3697	1438
72	3742	1384
73	3788	1331
74	3830	1276
75	3875	1223
76	3920	1171
77	3965	1118
78	4013	1066
79	4059	1014
80	4105	962
81	4148	910
82	4194	859
83	4243	808
84	4287	756
85	4333	705
86	4376	653
87	4428	603
88	4475	553
89	4523	502
90	4568	451
91	4629	402
92	4676	352
93	4725	301
94	4770	251
95	4816	200
96	4863	150
97	4908	100
98	4957	50
99	5000	0
